지역구분,년,작목군,작목,구분,값
강원,2020,과수,노지포도,총수입,6615126.0
강원,2020,과수,노지포도,주산물가액,6471889.0
강원,2020,과수,노지포도,부산물가액,143236.0
강원,2020,과수,노지포도,주산물수량,1353.0
강원,2020,과수,노지포도,수취가격,4785.0
강원,2020,과수,노지포도,생산비,6424420.0
강원,2020,과수,노지포도,경영비,2994621.0
강원,2020,과수,노지포도,중간재비,2168523.0
강원,2020,과수,노지포도,보통(무기질)비료비,38585.0
강원,2020,과수,노지포도,부산물(유기질)비료비,134894.0
강원,2020,과수,노지포도,농약비,249256.0
강원,2020,과수,노지포도,수도광열비,49982.0
강원,2020,과수,노지포도,기타재료비,690212.0
강원,2020,과수,노지포도,소농구비,1591.0
강원,2020,과수,노지포도,대농구상각비,161850.0
강원,2020,과수,노지포도,영농시설상각비,361276.0
강원,2020,과수,노지포도,수리·유지비,15677.0
강원,2020,과수,노지포도,과수원조성비,461610.0
강원,2020,과수,노지포도,기타비용,3589.0
강원,2020,과수,노지포도,농기계·시설임차료,1497.0
강원,2020,과수,노지포도,토지임차료,69496.0
강원,2020,과수,노지포도,위탁영농비,0.0
강원,2020,과수,노지포도,고용노동비,755104.0
강원,2020,과수,노지포도,자가노동비,2961218.0
강원,2020,과수,노지포도,유동자본용역비,61787.0
강원,2020,과수,노지포도,고정자본용역비,79358.0
강원,2020,과수,노지포도,토지자본용역비,327436.0
강원,2020,과수,노지포도,부가가치,4446603.0
강원,2020,과수,노지포도,소득,3620505.0
강원,2020,과수,노지포도,고용노동단가(남),14306.0
강원,2020,과수,노지포도,고용노동단가(여),11528.0
강원,2020,과수,노지포도,자가노동단가(남),19548.0
강원,2020,과수,노지포도,자가노동단가(여),19548.0
강원,2020,과수,노지포도,총노동시간,215.6
강원,2020,과수,노지포도,자가노동시간,151.5
강원,2020,과수,노지포도,자가노동시간(남),83.8
강원,2020,과수,노지포도,자가노동시간(여),67.7
강원,2020,과수,노지포도,고용노동시간,64.1
강원,2020,과수,노지포도,고용노동시간(남),10.7
강원,2020,과수,노지포도,고용노동시간(여),53.3
강원,2020,과수,노지포도,소득률,54.7
강원,2020,과수,노지포도,순수익,190706.0
강원,2020,과수,노지포도,순수익율,2.9
강원,2020,과수,노지포도,부가가치율,67.2
강원,2020,과수,노지포도,토지생산성,12068.0
강원,2020,과수,노지포도,노동생산성,16793.0
강원,2020,과수,노지포도,자본생산성,1.21
