지역구분,작목군,작목,구분,값
강원,과수,노지포도,총수입,6750663.0
강원,과수,노지포도,주산물가액,6678612.0
강원,과수,노지포도,부산물가액,72051.0
강원,과수,노지포도,주산물수량,1352.0
강원,과수,노지포도,수취가격,4940.0
강원,과수,노지포도,과수원조성비,480341.0
강원,과수,노지포도,보통(무기질)비료비,43438.0
강원,과수,노지포도,부산물(유기질)비료비,178139.0
강원,과수,노지포도,농약비,249859.0
강원,과수,노지포도,수도광열비,70841.0
강원,과수,노지포도,기타재료비,475918.0
강원,과수,노지포도,소농구비,3160.0
강원,과수,노지포도,대농구상각비,147767.0
강원,과수,노지포도,영농시설상각비,419934.0
강원,과수,노지포도,수리·유지비,11250.0
강원,과수,노지포도,기타비용,4833.0
강원,과수,노지포도,중간재비,2085480.0
강원,과수,노지포도,농기계·시설임차료,1869.0
강원,과수,노지포도,토지임차료,64663.0
강원,과수,노지포도,위탁영농비,0.0
강원,과수,노지포도,고용노동비,767568.0
강원,과수,노지포도,경영비,2919580.0
강원,과수,노지포도,자가노동비,3297035.0
강원,과수,노지포도,유동자본용역비,61601.0
강원,과수,노지포도,고정자본용역비,63502.0
강원,과수,노지포도,토지자본용역비,336293.0
강원,과수,노지포도,생산비,6678011.0
강원,과수,노지포도,자가노동시간,161.0
강원,과수,노지포도,고용노동시간,63.0
강원,과수,노지포도,총노동시간,224.0
강원,과수,노지포도,소득,3831083.0
강원,과수,노지포도,소득률,56.8
강원,과수,노지포도,순수익,72652.0
강원,과수,노지포도,순수익율,1.1
강원,과수,노지포도,부가가치,4665183.0
강원,과수,노지포도,부가가치율,69.1
강원,과수,노지포도,토지생산성,12770.0
강원,과수,노지포도,노동생산성,17103.0
강원,과수,노지포도,자본생산성,1.31
강원,과수,노지포도,kg당 경영비,2159.0
강원,과수,노지포도,kg당 생산비,4939.0
강원,과수,복숭아,총수입,3905506.0
강원,과수,복숭아,주산물가액,3905506.0
강원,과수,복숭아,부산물가액,0.0
강원,과수,복숭아,주산물수량,788.0
강원,과수,복숭아,수취가격,4956.0
강원,과수,복숭아,과수원조성비,230403.0
강원,과수,복숭아,보통(무기질)비료비,53394.0
강원,과수,복숭아,부산물(유기질)비료비,101419.0
강원,과수,복숭아,농약비,250756.0
강원,과수,복숭아,수도광열비,75915.0
강원,과수,복숭아,기타재료비,197240.0
강원,과수,복숭아,소농구비,4372.0
강원,과수,복숭아,대농구상각비,268309.0
강원,과수,복숭아,영농시설상각비,138905.0
강원,과수,복숭아,수리·유지비,19978.0
강원,과수,복숭아,기타비용,14480.0
강원,과수,복숭아,중간재비,1355171.0
강원,과수,복숭아,농기계·시설임차료,4317.0
강원,과수,복숭아,토지임차료,60102.0
강원,과수,복숭아,위탁영농비,0.0
강원,과수,복숭아,고용노동비,150687.0
강원,과수,복숭아,경영비,1570277.0
강원,과수,복숭아,자가노동비,2110170.0
강원,과수,복숭아,유동자본용역비,29786.0
강원,과수,복숭아,고정자본용역비,61905.0
강원,과수,복숭아,토지자본용역비,240172.0
강원,과수,복숭아,생산비,4012310.0
강원,과수,복숭아,자가노동시간,104.0
강원,과수,복숭아,고용노동시간,13.0
강원,과수,복숭아,총노동시간,117.0
강원,과수,복숭아,소득,2335229.0
강원,과수,복숭아,소득률,59.8
강원,과수,복숭아,순수익,-106804.0
강원,과수,복숭아,순수익율,-2.7
강원,과수,복숭아,부가가치,2550335.0
강원,과수,복숭아,부가가치율,65.3
강원,과수,복숭아,토지생산성,7784.0
강원,과수,복숭아,노동생산성,19959.0
강원,과수,복숭아,자본생산성,1.49
강원,과수,복숭아,kg당 경영비,1993.0
강원,과수,복숭아,kg당 생산비,5092.0
강원,과수,블루베리,총수입,7784220.0
강원,과수,블루베리,주산물가액,7784220.0
강원,과수,블루베리,부산물가액,0.0
강원,과수,블루베리,주산물수량,408.0
강원,과수,블루베리,수취가격,19079.0
강원,과수,블루베리,과수원조성비,423629.0
강원,과수,블루베리,보통(무기질)비료비,35876.0
강원,과수,블루베리,부산물(유기질)비료비,155077.0
강원,과수,블루베리,농약비,15500.0
강원,과수,블루베리,수도광열비,135481.0
강원,과수,블루베리,기타재료비,375528.0
강원,과수,블루베리,소농구비,4911.0
강원,과수,블루베리,대농구상각비,130321.0
강원,과수,블루베리,영농시설상각비,535017.0
강원,과수,블루베리,수리·유지비,19096.0
강원,과수,블루베리,기타비용,18658.0
강원,과수,블루베리,중간재비,1849094.0
강원,과수,블루베리,농기계·시설임차료,296.0
강원,과수,블루베리,토지임차료,27558.0
강원,과수,블루베리,위탁영농비,0.0
강원,과수,블루베리,고용노동비,846258.0
강원,과수,블루베리,경영비,2723206.0
강원,과수,블루베리,자가노동비,2477068.0
강원,과수,블루베리,유동자본용역비,52053.0
강원,과수,블루베리,고정자본용역비,173561.0
강원,과수,블루베리,토지자본용역비,250148.0
강원,과수,블루베리,생산비,5676036.0
강원,과수,블루베리,자가노동시간,125.0
강원,과수,블루베리,고용노동시간,70.0
강원,과수,블루베리,총노동시간,195.0
강원,과수,블루베리,소득,5061014.0
강원,과수,블루베리,소득률,65.0
강원,과수,블루베리,순수익,2108184.0
강원,과수,블루베리,순수익율,27.1
강원,과수,블루베리,부가가치,5935126.0
강원,과수,블루베리,부가가치율,76.2
강원,과수,블루베리,토지생산성,16870.0
강원,과수,블루베리,노동생산성,25954.0
강원,과수,블루베리,자본생산성,1.86
강원,과수,블루베리,kg당 경영비,6675.0
강원,과수,블루베리,kg당 생산비,13912.0
강원,과수,사과,총수입,6132783.0
강원,과수,사과,주산물가액,6132783.0
강원,과수,사과,주산물수량,2174.0
강원,과수,사과,수취가격,2821.0
강원,과수,사과,과수원조성비,441861.0
강원,과수,사과,보통(무기질)비료비,85101.0
강원,과수,사과,부산물(유기질)비료비,104944.0
강원,과수,사과,농약비,362835.0
강원,과수,사과,수도광열비,132962.0
강원,과수,사과,기타재료비,282750.0
강원,과수,사과,소농구비,5756.0
강원,과수,사과,대농구상각비,488396.0
강원,과수,사과,영농시설상각비,249894.0
강원,과수,사과,수리·유지비,43263.0
강원,과수,사과,기타비용,39609.0
강원,과수,사과,중간재비,2237371.0
강원,과수,사과,농기계·시설임차료,6318.0
강원,과수,사과,토지임차료,65712.0
강원,과수,사과,위탁영농비,6551.0
강원,과수,사과,고용노동비,775914.0
강원,과수,사과,경영비,3091866.0
강원,과수,사과,자가노동비,1906689.0
강원,과수,사과,유동자본용역비,59428.0
강원,과수,사과,고정자본용역비,178643.0
강원,과수,사과,토지자본용역비,311498.0
강원,과수,사과,생산비,5548124.0
강원,과수,사과,자가노동시간,93.0
강원,과수,사과,고용노동시간,53.0
강원,과수,사과,총노동시간,146.0
강원,과수,사과,소득,3040917.0
강원,과수,사과,소득률,49.6
강원,과수,사과,순수익,584659.0
강원,과수,사과,순수익율,9.5
강원,과수,사과,부가가치,3895412.0
강원,과수,사과,부가가치율,63.5
강원,과수,사과,토지생산성,10136.0
강원,과수,사과,노동생산성,20828.0
강원,과수,사과,자본생산성,0.98
강원,과수,사과,kg당 경영비,1422.0
강원,과수,사과,kg당 생산비,2552.0
강원,과수,오미자,총수입,4334342.0
강원,과수,오미자,주산물가액,4334342.0
강원,과수,오미자,주산물수량,427.0
강원,과수,오미자,수취가격,10151.0
강원,과수,오미자,과수원조성비,408800.0
강원,과수,오미자,보통(무기질)비료비,100383.0
강원,과수,오미자,부산물(유기질)비료비,241473.0
강원,과수,오미자,농약비,90263.0
강원,과수,오미자,수도광열비,77298.0
강원,과수,오미자,기타재료비,125258.0
강원,과수,오미자,소농구비,3951.0
강원,과수,오미자,대농구상각비,145673.0
강원,과수,오미자,영농시설상각비,216602.0
강원,과수,오미자,수리·유지비,10801.0
강원,과수,오미자,기타비용,4658.0
강원,과수,오미자,중간재비,1425160.0
강원,과수,오미자,농기계·시설임차료,3244.0
강원,과수,오미자,토지임차료,101240.0
강원,과수,오미자,위탁영농비,0.0
강원,과수,오미자,고용노동비,318041.0
강원,과수,오미자,경영비,1847685.0
강원,과수,오미자,자가노동비,2885112.0
강원,과수,오미자,유동자본용역비,38577.0
강원,과수,오미자,고정자본용역비,81540.0
강원,과수,오미자,토지자본용역비,295794.0
강원,과수,오미자,생산비,5148708.0
강원,과수,오미자,자가노동시간,135.0
강원,과수,오미자,고용노동시간,25.0
강원,과수,오미자,총노동시간,160.0
강원,과수,오미자,소득,2486657.0
강원,과수,오미자,소득률,57.4
강원,과수,오미자,순수익,-814366.0
강원,과수,오미자,순수익율,-18.8
강원,과수,오미자,부가가치,2909182.0
강원,과수,오미자,부가가치율,67.1
강원,과수,오미자,토지생산성,8289.0
강원,과수,오미자,노동생산성,15542.0
강원,과수,오미자,자본생산성,1.35
강원,과수,오미자,kg당 경영비,4327.0
강원,과수,오미자,kg당 생산비,12058.0
강원,과수,토종다래,총수입,5542292.0
강원,과수,토종다래,주산물가액,5401769.0
